product_id,product_name,product_type,product_category,brand,product_decription,product_purpose,cost_per_unit,cost_range
165,Private Collection,body spray,fragrance,Tommy Hilfiger Toiletries,Estee Lauder Eau de Private Collection Spray,"Rare, Feminine, Precious",$68.00 ,(none)
166,Youth-Dew,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum Spray,"Sexy, Exotic, Opulent",$42.00 ,(none)
167,Youth-Dew,eau de parfum,fragrance,Tommy Hilfiger Toiletries,Eau de Parfum Spray in Classic Bottle,"Sexy, Exotic, Opulent",$42.00 ,(none)
168,Youth-Dew,body oil,Cosmetics/SkinCare,Tom Ford Beauty,Bath Oil,Wear it or use for bathtime,$45.00 ,(none)
169,Youth-Dew,body cream,Cosmetics/SkinCare,Tom Ford Beauty,Perfumed Body Creme,"Rich, smoothing moisture",$42.00 ,(none)
170,Youth-Dew,body lotion,Cosmetics/SkinCare,Darphin,Body Satinée,"Lightweight, smoothing hydration",$36.00 ,(none)
171,White Linen,eau de parfum,fragrance,Tommy Hilfiger Toiletries,Eau de Parfum Spray,"Cool, Clean, Crisp",$72.00 ,$72.00 - $82.00
172,White Linen,body cream,Cosmetics/SkinCare,Tom Ford Beauty,Perfumed Body Creme,"Rich, smoothing moisture",$55.00 ,(none)
173,Azurée,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum Spray,"Radiant, Sunlit, Warm",$58.00 ,(none)
174,Estée Lauder Beyond Paradise,eau de parfum,fragrance,Tommy Hilfiger Toiletries,Eau de Parfum Spray,"Radiant, Intriguing, Intoxicating",$73.00 ,(none)
175,Cinnabar,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum Spray,"Exotic, Mysterious, Warm",$58.00 ,(none)
176,Estée,cologne,fragrance,Editions de Parfums Frédéric Malle,Super Cologne Spray,"Classic, Feminine, Sparkling",$58.00 ,(none)
177,Intuition,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum Spray,"Luminous, Warm, Sensual",$73.00 ,(none)
178,SpellBound,eau de parfum,fragrance,Michael Kors Beauty,Eau de Parfum Spray,"Irresistible, Spicy, Rich",$73.00 ,(none)
179,Estée Lauder Sensuous,eau de parfum,fragrance,Michael Kors Beauty,Eau de Parfum Spray,"Warm, Luminous, Feminine",$75.00 ,$75.00 - $98.00
180,Knowing,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum Spray,"Sophisticated, Luxurious, Confident",$65.00 ,$65.00 - $90.00
181,Lauder Pleasures For Men,cologne,fragrance,RODIN olio lusso[29],Cologne Spray,"Crisp, Clean, Energizing",$76.00 ,(none)
182,Lauder For Men,cologne,fragrance,The Ordinary by Brandon Truaxe,Cologne Spray,"Fresh, Clean, Exhilarating",$70.00 ,(none)
183,Pleasures Ice Skate,solid perfume,fragrance,Ermenegildo Zegna Perfumes,Perfume Compact,Collectible solid perfume compact.,$200.00 ,(none)
184,Estée Lauder X Disney: Pleasures Under the Sea,solid perfume,fragrance,Kiton,Perfume Compact by Monica Rich Kosann,Collectible solid perfume compact.,$300.00 ,(none)
185,Estée Lauder X Disney: Beautiful True Love’s Kiss,solid perfume,fragrance,The Ordinary by Brandon Truaxe,Perfume Compact by Monica Rich Kosann,Collectible solid perfume compact.,$250.00 ,(none)
186,Estée Lauder X Disney: Beautiful Just One Bite,solid perfume,fragrance,Tommy Hilfiger Toiletries,Perfume Compact by Monica Rich Kosann,Collectible solid perfume compact.,$250.00 ,(none)
187,Estée Lauder X Disney: Beautiful Belle Light The Way To Your Dreams,solid perfume,fragrance,The Ordinary by Brandon Truaxe,Perfume Compact by Monica Rich Kosann,Collectible solid perfume compact.,$250.00 ,(none)
188,Estée Lauder X Disney: Pleasures True to Your Heart,solid perfume,fragrance,Editions de Parfums Frédéric Malle,Perfume Compact by Monica Rich Kosann,Collectible solid perfume compact.,$275.00 ,(none)
189,Rose De Grasse Pour Filles,eau de toilette,fragrance,The Ordinary by Brandon Truaxe,Eau de Toilette,Floral Rose,$90.00 ,(none)
190,Mediterranean Honeysuckle in Bloom,body spray,fragrance,Tommy Hilfiger Toiletries,Purse Spray,Floral Bouquet. Travel spray perfect for your purse.,$30.00 ,(none)
191,Rose,body cream,Cosmetics/SkinCare,Darphin,Hand & Body Cream,Joyful silky rose cream with a smooth finish.,$42.00 ,$42.00 - $68.00
192,Wild Geranium,eau de parfum,fragrance,Ermenegildo Zegna Perfumes,Eau de Parfum,Radiant. Floral. Enchanting.,$130.00 ,$130.00 - $180.00
193,Wild Geranium,body cream,Cosmetics/SkinCare,Estée Lauder,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
194,Wild Geranium,body spray,fragrance,Editions de Parfums Frédéric Malle,Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
195,Aegea Blossom,eau de parfum,fragrance,RODIN olio lusso[29],Eau de Parfum,Luminous. Pure. Glowing.,$130.00 ,$130.00 - $180.00
196,Aegea Blossom,body cream,Cosmetics/SkinCare,Editions de Parfums Frédéric Malle,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
197,Aegea Blossom,body spray,fragrance,Kiton,Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
198,Mediterranean Honeysuckle,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,Sparkling. Lush. Fresh.,$135.00 ,$135.00 - $185.00
199,Mediterranean Honeysuckle,body cream,Cosmetics/SkinCare,Estée Lauder,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
200,Amber Musk,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum,Velvety. Warm. Enveloping.,$135.00 ,$135.00 - $185.00
201,Amber Musk d’Or,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,Sensual. Amber. Opulent.,$240.00 ,(none)
202,Amber Musk,body spray,fragrance,Kiton,Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
203,Amber Musk,body cream,Cosmetics/SkinCare,Lab Series,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
204,Hibiscus Palm,eau de parfum,fragrance,Ermenegildo Zegna Perfumes,Eau de Parfum,Lush. Solar. Exotic.,$130.00 ,$130.00 - $180.00
205,Hibiscus Palm,body spray,fragrance,Tommy Hilfiger Toiletries,Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
206,Lilac Path,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum,Crisp. Delicate. Lush.,$135.00 ,$135.00 - $185.00
207,Lilac Path,body cream,Cosmetics/SkinCare,Lab Series,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
208,Tangier Vanille,eau de parfum,fragrance,RODIN olio lusso[29],Eau de Parfum,Glowing. Warm. Sensual.,$135.00 ,$135.00 - $185.00
209,Tangier Vanille d’Or,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,(none),$240.00 ,(none)
210,Tangier Vanille,body cream,Cosmetics/SkinCare,Origins,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
211,Evening Rose,eau de parfum,fragrance,RODIN olio lusso[29],Eau de Parfum,Alluring. Luxurious. Warm.,$135.00 ,$135.00 - $185.00
212,Evening Rose d'Or,eau de parfum,fragrance,The Ordinary by Brandon Truaxe,Eau de Parfum,Alluring. Romantic. Rich.,$240.00 ,(none)
213,Evening Rose,body spray,fragrance,Ermenegildo Zegna Perfumes,Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
214,Evening Rose,body cream,Cosmetics/SkinCare,Origins,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
215,Ikat Jasmine,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,Soft. Fresh. Velvety.,$135.00 ,$135.00 - $185.00
216,Ikat Jasmine,body cream,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
217,Ikat Jasmine,body spray,fragrance,RODIN olio lusso[29],Purse Spray,Travel spray perfect for your purse.,$30.00 ,(none)
218,Waterlily Sun,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,Bright. Dewy. Tranquil.,$135.00 ,$135.00 - $185.00
219,Gardenia Rattan,eau de parfum,fragrance,Editions de Parfums Frédéric Malle,Eau de Parfum,Lush. Floral. Warm.,$135.00 ,$135.00 - $185.00
220,Iris Meadow,body cream,Cosmetics/SkinCare,Prescriptives,Body Cream,"Rich, luxurious hydrating essential.",$60.00 ,(none)
221,Ambrette de Noir,perfume,fragrance,Tommy Hilfiger Toiletries,Parfum,Oriental. Floral. Amber.,$240.00 ,$240.00 - $335.00
222,Limone di Sicilia,perfume,fragrance,Ermenegildo Zegna Perfumes,Parfum,Radiant. Luxurious. Joyful.,$235.00 ,$235.00 - $325.00
223,Limone di Sicilia,body cream,Cosmetics/SkinCare,BECCA,Body Cream,"Rich, luxurious hydrating essential.",$90.00 ,(none)
224,Éclat de Vert,perfume,fragrance,Tommy Hilfiger Toiletries,Parfum,Green. Vibrant. Intriguing.,$235.00 ,$235.00 - $325.00
225,Éclat de Vert,body cream,Cosmetics/SkinCare,BECCA,Body Cream,"Rich, luxurious hydrating essential.",$90.00 ,(none)
226,Rose de Grasse,perfume,fragrance,RODIN olio lusso[29],Parfum,Feminine. Rare. Timeless.,$240.00 ,$240.00 - $335.00
227,Rose de Grasse,body cream,Cosmetics/SkinCare,La Mer,Body Cream,"Rich, luxurious hydrating essential.",$90.00 ,(none)
228,Rose de Grasse,body wash,Cosmetics/SkinCare,Tom Ford Beauty,Body Wash,"Refreshing, lightly scented luxury.",$65.00 ,(none)
229,Rose de Grasse,body spray,fragrance,Aramis,Purse Spray,(none),$90.00 ,(none)
230,Rose de Grasse,body spray,fragrance,The Ordinary by Brandon Truaxe,Purse Spray Refillable Vials,(none),$100.00 ,(none)
231,Tuberose Le Jour,perfume,fragrance,Kiton,Parfum,Luminous. Exquisite. Floral.,$240.00 ,$240.00 - $335.00
232,Tuberose Le Soir,perfume,fragrance,By Kilian,Parfum,Sensual. Floral. Luxurious.,$240.00 ,$240.00 - $335.00
233,Tuberose Le Soir,perfume,fragrance,By Kilian,Parfum,Sensual. Floral. Luxurious.,$240.00 ,$240.00 - $335.00
234,Tuberose Le Soir,perfume,fragrance,By Kilian,Parfum,Sensual. Floral. Luxurious.,$240.00 ,$240.00 - $335.00
235,Tuberose Le Soir,perfume,fragrance,By Kilian,Parfum,Sensual. Floral. Luxurious.,$240.00 ,$240.00 - $335.00
,,,,,,,,
,,,,,,,,
